CC No.,Type,Train number,Train name,Start Station name,End Station name,Stoppage Station name,Date of Issue
232,stoppage,18309/18310,Sambalpur-Jammu Tawi Express,,,Tatisilwai,15.03.2024
232,stoppage,18615/18616,Howrah-Hatia Kriya Yoga Express,,,Tatisilwai,15.03.2024
232,stoppage,18625/18626,Hatia-Purnea Court Express,,,Tatisilwai,15.03.2024
182,stoppage,12719/12720,Jaipur - Hyderabad Express,,,Burhanpur,12.03.2024
7,stoppage,14813/14,Jodhpur-Bhopal Express,,,Sureli,02.01.2024
168,introduction,None,PARADEEP- KENDUJHARGARH MEMU,PARADEEP,KENDUJHARGARH,,04.03.2024
168,introduction,None,KENDUJHARGARH- PARADEEP MEMU,KENDUJHARGARH,PARADEEP,,04.03.2024
179,stoppage,19323/24,Dr. Ambedkar Nagar-Bhopal Express,,,Sehore,07.03.2024
174,extension,16232,MYSURU- CUDDALORE PORT EXPRESS,,CUDDALORE PORT,,07.03.2024
174,extension,16231,CUDDALORE PORT- MYSURU EXPRESS,,CUDDALORE PORT,,07.03.2024
92,stoppage,22665/22666,KSR Bengaluru-Coimbatore Uday Express,,,Tirupattur,16.02.2024
223,stoppage,12423/12424,Dibrugarh-New Delhi Rajdhani Express,,,Rangiya,15.03.2024
162,stoppage,12467/12468,Jaisalmer-Jaipur Leelan Express,,,Nawa City,06.03.2024
170,stoppage,12215,Delhi Sarai Rohilla-Bandra (T) Garib Rath Express,,,Nadiad,07.03.2024
170,stoppage,09274,Ahmedabad-Anand MEMU,,,Nadiad,07.03.2024
218,extension,09605,AJMER- JAIPUR DEMU,,GANGAPUR CITY,,15.03.2024
218,extension,09606,JAIPUR- AJMER DEMU,,GANGAPUR CITY,,15.03.2024
175,stoppage,11201/11202,Shahdol-Nagpur Express,,,Birsinghpur Pali,07.03.2024
203,stoppage,18613/14,Ranchi-Chopan Express,,,Meralgram,09.03.2024
97,stoppage,16343/16344,Thiruvananthapuram Central-Madurai Amritha Express,,,Kazhakuttam,16.02.2024
97,stoppage,16348,Mangaluru Central-Thiruvananthapuram Central Express,,,Paravur,16.02.2024
95,stoppage,12119/20,Amravati-Ajni Express,,,Tuljapur,16.02.2024
95,stoppage,12159/60,Amravati-Jabalpur Express,,,Chandur,16.02.2024
107,stoppage,13149/13150,Sealdah-Alipur Duar Kanchankanya Express,,,Madarihat,16.02.2024
107,stoppage,15483/15484,Alipur Duar-Old Delhi Sikkim Mahananda Express,,,Nagrakata,16.02.2024
107,stoppage,15467/15468,Siliguri-Bamanhat Express,,,Nagrakata,16.02.2024
196,extension,22925,AHMEDABAD -OKHA VANDE BHARAT EXPRESS,,OKHA,,09.03.2024
196,extension,22926,JAMNAGAR -AHMEDABAD VANDE BHARAT EXPRESS,,OKHA,,09.03.2024
177,stoppage,20895/20896,Rameswaram-Bhubaneswar Express,,,Rajamundry,07.03.2024
177,stoppage,12867/12868,Howrah-Puducherry Express,,,Rajamundry,07.03.2024
177,stoppage,16591/16592,Hubballi-Mysuru Hampi Express,,,Anantapur,07.03.2024
177,stoppage,17645/17646,Secunderabad-Repalle Express,,,Siripuram,07.03.2024
177,stoppage,17035/17036,Kazipet-Balharshah Express,,,Raghavapuram,07.03.2024
177,stoppage,17035/17036,Kazipet-Balharshah Express,,,Mandamari,07.03.2024
177,stoppage,22151/22152,Pune-Kazipet Express,,,Mancheral,07.03.2024
177,stoppage,11409/11410,Daund-Nizamabad Express,,,Navipet,07.03.2024
177,stoppage,17405/17406,Tirupati-Adilabad Krishna Express,,,Medchal,07.03.2024
177,stoppage,17033/17034,Bhadrachalam Road-Balharshah Singareni Memu Express,,,Bethampudi,07.03.2024
177,stoppage,12787/12788,Narasapur-Nagarsol Express,,,Mahbubabad,07.03.2024
177,stoppage,20701/20702,Secunderabad-Tirupati Vande Bharat Express,,,Miryalaguda,07.03.2024
177,stoppage,17659/17660,Secunderabad-Bhadrachalam Road Kakatiya Express,,,Tadakalpudi,07.03.2024
177,stoppage,17646,Repalle-Secunderabad Express,,,Ramannapet,07.03.2024
177,stoppage,17253,Guntur-Secunderabad Express,,,Umdanagar,07.03.2024
177,stoppage,17035,Kazipet-Balharshah Express,,,Rechni Road,07.03.2024
177,stoppage,12763,Tirupati-Secunderabad Padmavathi Express,,,Nekonda,07.03.2024
177,stoppage,17660,Bhadrachalam Road-Secunderabad Kakatiya Express,,,Bethampudi,07.03.2024
149,stoppage,19411/19412,Sabarmati - Daulatpur Chowk Express,,,Sojat Road,01.03.2024
149,stoppage,20491/20492,Jaisalmer - Sabarmati Express,,,Tivari,01.03.2024
149,stoppage,14087/14088,Delhi - Jaisalmer Runicha Express,,,Osiyan,01.03.2024
149,stoppage,22481/22482,Jodhpur - Delhi Express,,,Pipar Road,01.03.2024
122,stoppage,20409/20410,Delhi Cantt-Bathinda Express,,,Bahadurgarh,22.02.2024
11,stoppage,13347/48,Barkakana-Patna Palamu Express,,,McCluskieganj,05.01.2024
11,stoppage,18623/24,Hatia-Islampur Express,,,Namkom,05.01.2024
11,stoppage,18623/24,Hatia-Islampur Express,,,Tatisilwai,05.01.2024
234,stoppage,15079/15080,Patliputra-Gorakhpur Express,,,Sidhwalia,15.03.2024
221,stoppage,14807/14808,Jodhpur-Dadar Express,,,Modran, 
221,stoppage,14807/14808,Jodhpur-Dadar Express,,,Mokalsar, 
30,introduction,51119,WARDHA-KALAMB PASSENGER,WARDHA,KALAMB,,15.01.2024
30,introduction,51120,KALAMB-WARDHA PASSENGER,KALAMB,WARDHA,,15.01.2024
9,extension,18423,BHUBANESWA R-DASAPALLA EXPRESS,,DASAPALLA,,04.01.2024
9,extension,18424,DASAPALLA BHUBANESW AR EXPRESS,,DASAPALLA,,04.01.2024
